Category,System,Subsystem
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Aromatic amino acid interconversions with aryl acids
Amino Acids and Derivatives,Aromatic amino acids and derivatives,"Bacilysin biosynthesis, extended"
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Bacilysin biosynthesis
Amino Acids and Derivatives,Aromatic amino acids and derivatives,"Chorismate: Intermediate for synthesis of Tryptophan, PAPA antibiotics, PABA, 3-hydroxyanthranilate and more."
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Chorismate Synthesis
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Common Pathway For Synthesis of Aromatic Compounds (DAHP synthase to chorismate)
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Indole-pyruvate oxidoreductase complex
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Phenylalanine and Tyrosine Branches from Chorismate
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Tryptophan catabolism
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Tryptophan synthesis
Amino Acids and Derivatives,Aromatic amino acids and derivatives,Violacein biosynthesis
Amino Acids and Derivatives,Branched-chain amino acids,Branched-Chain Amino Acid Biosynthesis
Amino Acids and Derivatives,Branched-chain amino acids,Branched chain amino acid degradation regulons
Amino Acids and Derivatives,Branched-chain amino acids,HMG-CoA
Amino Acids and Derivatives,Branched-chain amino acids,HMG CoA Synthesis
Amino Acids and Derivatives,Branched-chain amino acids,Isoleucine degradation
Amino Acids and Derivatives,Branched-chain amino acids,Ketoisovalerate oxidoreductase
Amino Acids and Derivatives,Branched-chain amino acids,Leucine Biosynthesis
Amino Acids and Derivatives,Branched-chain amino acids,Leucine Degradation and HMG-CoA Metabolism
Amino Acids and Derivatives,Branched-chain amino acids,Valine degradation
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Aspartate aminotransferase
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Glutamate and Aspartate uptake in Bacteria
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Glutamate dehydrogenases
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation","Glutamine, Glutamate, Aspartate and Asparagine Biosynthesis"
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Glutamine synthetases
Amino Acids and Derivatives,"Glutamine, glutamate, aspartate, asparagine; ammonia assimilation",Poly-gamma-glutamate biosynthesis
Amino Acids and Derivatives,Histidine Metabolism,Histidine Biosynthesis
Amino Acids and Derivatives,Histidine Metabolism,Histidine Degradation
Amino Acids and Derivatives,Histidine Metabolism,Histidine transporter and regulator
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Cysteine Biosynthesis
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine","Lysine Biosynthesis DAP Pathway, GJO scratch"
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine Biosynthesis DAP Pathway
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine biosynthesis AAA pathway 2
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine degradation
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Lysine fermentation
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Biosynthesis
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Degradation
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Methionine Salvage
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",S-methylmethionine
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine anaerobic catabolism gene cluster
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine and Homoserine Biosynthesis
Amino Acids and Derivatives,"Lysine, threonine, methionine, and cysteine",Threonine degradation
Amino Acids and Derivatives,Polyamines,"DAP (1,3-diaminopropane) production"
Amino Acids and Derivatives,Proline and 4-hydroxyproline,A Hypothetical Protein Related to Proline Metabolism
Amino Acids and Derivatives,Proline and 4-hydroxyproline,ProC
Amino Acids and Derivatives,Proline and 4-hydroxyproline,"Proline, 4-hydroxyproline uptake and utilization"
Amino Acids and Derivatives,Proline and 4-hydroxyproline,Proline Synthesis
Carbohydrates,Carbohydrates - no subcategory,Acetone carboxylase
Carbohydrates,Carbohydrates - no subcategory,CBSS-155864.1.peg.5027
Carbohydrates,Carbohydrates - no subcategory,Carbon storage regulator
Carbohydrates,Carbohydrates - no subcategory,"Conserved cluster around inner membrane protein gene yghQ, probably involved in polysaccharide biosynthesis"
Carbohydrates,Carbohydrates - no subcategory,L-Talarate Dehydratase
Carbohydrates,Carbohydrates - no subcategory,L-rhamnonate utilization
Carbohydrates,Carbohydrates - no subcategory,Lacto-N-Biose I and Galacto-N-Biose Metabolic Pathway
Carbohydrates,Carbohydrates - no subcategory,Sugar utilization in Thermotogales
Carbohydrates,Carbohydrates - no subcategory,Uncharacterized sugar kinase cluster (ygc)
Carbohydrates,Carbohydrates - no subcategory,Unknown carbohydrate utilization ( cluster Ydj )
Carbohydrates,Carbohydrates - no subcategory,Unknown carbohydrate utilization ( cluster Yeg )
Carbohydrates,Carbohydrates - no subcategory,Unknown sugar utilization (cluster yphABCDEFG)
Carbohydrates,Carbohydrates - no subcategory,VC0266
Carbohydrates,Carbohydrates - no subcategory,beta-glucuronide utilization
Carbohydrates,Aminosugars,(GlcNAc)2 Catabolic Operon
Carbohydrates,Aminosugars,Chitin and N-acetylglucosamine utilization
Carbohydrates,Aminosugars,Fructoselysine (Amadori product) utilization pathway
Carbohydrates,Aminosugars,Hyaluronate utilization
Carbohydrates,Aminosugars,N-Acetyl-Galactosamine and Galactosamine Utilization
Carbohydrates,Aminosugars,Neotrehalosadiamine (NTD) Biosynthesis Operon
Carbohydrates,CO2 fixation,2-oxoglutarate oxidoreductase subunits
Carbohydrates,CO2 fixation,3-hydroxypropionate CO2 fixation cycle
Carbohydrates,CO2 fixation,"CO2 uptake, carboxysome"
Carbohydrates,CO2 fixation,Calvin-Benson cycle
Carbohydrates,CO2 fixation,Carboxysome
Carbohydrates,CO2 fixation,Photorespiration (oxidative C2 cycle)
Carbohydrates,Central carbohydrate metabolism,AcuABC and Ac-CoA synthetase control
Carbohydrates,Central carbohydrate metabolism,Cyanobecterial bypass in the TCA
Carbohydrates,Central carbohydrate metabolism,Dehydrogenase complexes
Carbohydrates,Central carbohydrate metabolism,Dihydroxyacetone kinases
Carbohydrates,Central carbohydrate metabolism,Entner-Doudoroff Pathway
Carbohydrates,Central carbohydrate metabolism,"Ethylmalonyl-CoA pathway of C2 assimilation, GJO"
Carbohydrates,Central carbohydrate metabolism,Ethylmalonyl-CoA pathway of C2 assimilation
Carbohydrates,Central carbohydrate metabolism,"Glycolate, glyoxylate interconversions"
Carbohydrates,Central carbohydrate metabolism,"Glycolysis and Gluconeogenesis, including Archaeal enzymes"
Carbohydrates,Central carbohydrate metabolism,Glycolysis and Gluconeogenesis
Carbohydrates,Central carbohydrate metabolism,Glyoxylate bypass
Carbohydrates,Central carbohydrate metabolism,HPr kinase and hprK operon in Gram-positive organisms
Carbohydrates,Central carbohydrate metabolism,Methylglyoxal Metabolism
Carbohydrates,Central carbohydrate metabolism,Particulate methane monooxygenase (pMMO)
Carbohydrates,Central carbohydrate metabolism,Pentose phosphate pathway
Carbohydrates,Central carbohydrate metabolism,Peripheral Glucose Catabolism Pathways
Carbohydrates,Central carbohydrate metabolism,Pyruvate:ferredoxin oxidoreductase
Carbohydrates,Central carbohydrate metabolism,Pyruvate Alanine Serine Interconversions
Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism I: anaplerotic reactions, PEP"
Carbohydrates,Central carbohydrate metabolism,"Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate"
Carbohydrates,Central carbohydrate metabolism,Soluble methane monooxygenase (sMMO)
Carbohydrates,Central carbohydrate metabolism,TCA Cycle
Carbohydrates,Di- and oligosaccharides,Atomic regulon 514 EC
Carbohydrates,Di- and oligosaccharides,Beta-Glucoside Metabolism
Carbohydrates,Di- and oligosaccharides,Fructooligosaccharides(FOS) and Raffinose Utilization
Carbohydrates,Di- and oligosaccharides,Lactose and Galactose Uptake and Utilization
Carbohydrates,Di- and oligosaccharides,Lactose utilization
Carbohydrates,Di- and oligosaccharides,Maltose and Maltodextrin Utilization
Carbohydrates,Di- and oligosaccharides,Melibiose Utilization
Carbohydrates,Di- and oligosaccharides,Sucrose utilization
Carbohydrates,Di- and oligosaccharides,Sucrose utilization Shewanella
Carbohydrates,Di- and oligosaccharides,Trehalose Biosynthesis
Carbohydrates,Di- and oligosaccharides,Trehalose Uptake and Utilization
Carbohydrates,Di- and oligosaccharides,Unknown oligosaccharide utilization Sde 1396
Carbohydrates,Fermentation,"Acetoin, butanediol metabolism"
Carbohydrates,Fermentation,Acetolactate synthase subunits
Carbohydrates,Fermentation,Acetone Butanol Ethanol Synthesis
Carbohydrates,Fermentation,Acetyl-CoA fermentation to Butyrate
Carbohydrates,Fermentation,Butanol Biosynthesis
Carbohydrates,Fermentation,Fermentations: Lactate
Carbohydrates,Fermentation,Fermentations: Mixed acid
Carbohydrates,Glycoside hydrolases,Predicted carbohydrate hydrolases
Carbohydrates,Monosaccharides,2-Ketogluconate Utilization
Carbohydrates,Monosaccharides,D-Galacturonate and D-Glucuronate Utilization
Carbohydrates,Monosaccharides,D-Sorbitol(D-Glucitol) and L-Sorbose Utilization
Carbohydrates,Monosaccharides,D-Tagatose and Galactitol Utilization
Carbohydrates,Monosaccharides,D-allose utilization
Carbohydrates,Monosaccharides,"D-galactarate, D-glucarate and D-glycerate catabolism"
Carbohydrates,Monosaccharides,"D-galactarate, D-glucarate and D-glycerate catabolism - gjo"
Carbohydrates,Monosaccharides,D-galactonate catabolism
Carbohydrates,Monosaccharides,D-gluconate and ketogluconates metabolism
Carbohydrates,Monosaccharides,D-ribose utilization
Carbohydrates,Monosaccharides,Deoxyribose and Deoxynucleoside Catabolism
Carbohydrates,Monosaccharides,Fructose utilization
Carbohydrates,Monosaccharides,Hexose Phosphate Uptake System
Carbohydrates,Monosaccharides,L-Arabinose utilization
Carbohydrates,Monosaccharides,L-ascorbate utilization (and related gene clusters)
Carbohydrates,Monosaccharides,L-fucose utilization
Carbohydrates,Monosaccharides,L-fucose utilization temp
Carbohydrates,Monosaccharides,L-rhamnose utilization
Carbohydrates,Monosaccharides,Mannose Metabolism
Carbohydrates,Monosaccharides,Unknown pentose utilization
Carbohydrates,Monosaccharides,Xylose
Carbohydrates,Monosaccharides,Xylose utilization
Carbohydrates,One-carbon Metabolism,Formaldehyde assimilation: Ribulose monophosphate pathway
Carbohydrates,One-carbon Metabolism,Methanogenesis
Carbohydrates,One-carbon Metabolism,Methanogenesis from methylated compounds
Carbohydrates,One-carbon Metabolism,"N5,N10-methylenetetrahydromethanopterin reductase and related proteins"
Carbohydrates,One-carbon Metabolism,One-carbon metabolism by tetrahydropterines
Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle
Carbohydrates,One-carbon Metabolism,Serine-glyoxylate cycle - GJO
Carbohydrates,Organic acids,2-methylcitrate to 2-methylaconitate metabolism cluster
Carbohydrates,Organic acids,Alpha-acetolactate operon
Carbohydrates,Organic acids,CitAB
Carbohydrates,Organic acids,"Citrate Metabolism, Transport, and Regulation"
Carbohydrates,Organic acids,Glycerate metabolism
Carbohydrates,Organic acids,Isobutyryl-CoA to Propionyl-CoA Module
Carbohydrates,Organic acids,Lactate utilization
Carbohydrates,Organic acids,Malonate decarboxylase
Carbohydrates,Organic acids,Methylcitrate cycle
Carbohydrates,Organic acids,Propionate-CoA to Succinate Module
Carbohydrates,Organic acids,Propionyl-CoA to Succinyl-CoA Module
Carbohydrates,Organic acids,Tricarballylate Utilization
Carbohydrates,Polysaccharides,Alpha-Amylase locus in Streptocococcus
Carbohydrates,Polysaccharides,Cellulosome
Carbohydrates,Polysaccharides,Glycogen metabolism
Carbohydrates,Polysaccharides,Unknown carbohydrate utilization containing Fructose-bisphosphate aldolase
Carbohydrates,Polysaccharides,Xyloglucan Utilization
Carbohydrates,Sugar alcohols,Di-Inositol-Phosphate biosynthesis
Carbohydrates,Sugar alcohols,Erythritol utilization
Carbohydrates,Sugar alcohols,Ethanolamine utilization
Carbohydrates,Sugar alcohols,Glycerol and Glycerol-3-phosphate Uptake and Utilization
Carbohydrates,Sugar alcohols,"Glycerol fermentation to 1,3-propanediol"
Carbohydrates,Sugar alcohols,Glycerol utilization cluster
Carbohydrates,Sugar alcohols,Inositol catabolism
Carbohydrates,Sugar alcohols,Inositol utilization
Carbohydrates,Sugar alcohols,Mannitol Utilization
Carbohydrates,Sugar alcohols,Propanediol utilization
Carbohydrates,Sugar alcohols,"Ribitol, Xylitol, Arabitol, Mannitol and Sorbitol utilization"
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Bacterial Cytoskeleton
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Bacterial cell division related cluster 2
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Cell division cluster
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Control of cell elongation - division cycle in Bacilli
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Cyanobacterial Circadian Clock
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Intracellular septation in Enterobacteria
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,Macromolecular synthesis operon
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,MukBEF Chromosome Condensation
Cell Division and Cell Cycle,Cell Division and Cell Cycle - no subcategory,YgjD and YeaZ
Cell Division and Cell Cycle,Checkpoint control,Bacterial checkpoint-control-related cluster
Cell Division and Cell Cycle,Heterocyst formation,Heterocyst formation in cyanobacteria
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Murein Hydrolases
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Peptidoglycan Biosynthesis
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Peptidoglycan Crosslinking of Peptide Stems
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Peptidoglycan biosynthesis--gjo
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Recycling of Peptidoglycan Amino Acids
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Recycling of Peptidoglycan Amino Sugars
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,Stress response and cell wall lysis cluster
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,"UDP-2,3-diacetamido-2,3-dideoxy-D-mannuronic Acid"
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,UDP-N-acetylmuramate from Fructose-6-phosphate Biosynthesis
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,YjeE
Cell Wall and Capsule,Cell Wall and Capsule - no subcategory,tRNA-dependent amino acid transfers
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Alginate metabolism
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Bacillus spore coat polysaccharide biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Bacillus subtilis exopolysaccharide
Cell Wall and Capsule,Capsular and extracellular polysacchrides,CMP-N-acetylneuraminate Biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular Polysaccharide (CPS) of Campylobacter
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular Polysaccharides Biosynthesis and Assembly
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular heptose biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Capsular surface virulence antigen loci
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Cell wall rhamnose-containing polysaccharide cluster
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Colanic acid biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Exopolysaccharide Biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Extracellular Polysaccharide Biosynthesis of Streptococci
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Legionaminic Acid Biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Lipid-linked oligosaccharide synthesis related cluster
Cell Wall and Capsule,Capsular and extracellular polysacchrides,O-Methyl Phosphoramidate Capsule Modification in Campylobacter
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Phosphorylcholine incorporation in LPS
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Polysaccharide deacetylases
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Pseudaminic Acid Biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Rhamnose containing glycans
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Serotype determining Capsular polysaccharide biosynthesis in Staphylococcus
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Sialic Acid Metabolism
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Streptococcal Hyaluronic Acid Capsule
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Streptococcal group antigen operons
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Vibrio Polysaccharide (VPS) Biosynthesis
Cell Wall and Capsule,Capsular and extracellular polysacchrides,Xanthan Exopolysaccharide Biosynthesis and Export
Cell Wall and Capsule,Capsular and extracellular polysacchrides,YjbEFGH Locus Involved in Exopolysaccharide Production
Cell Wall and Capsule,Capsular and extracellular polysacchrides,dTDP-rhamnose synthesis
Cell Wall and Capsule,Cell wall of Mycobacteria,linker unit-arabinogalactan synthesis
Cell Wall and Capsule,Cell wall of Mycobacteria,mycolic acid synthesis
Cell Wall and Capsule,Gram-Negative cell wall components,A cluster in Borrelia probably related to lipoprotein export
Cell Wall and Capsule,Gram-Negative cell wall components,Brucella Wbk Region and LPS genes
Cell Wall and Capsule,Gram-Negative cell wall components,Core Oligosaccharide Glycosylation in Pseudomonas
Cell Wall and Capsule,Gram-Negative cell wall components,Inner membrane protein YhjD and conserved cluster involved in LPS biosynthesis
Cell Wall and Capsule,Gram-Negative cell wall components,KDO2-Lipid A biosynthesis
Cell Wall and Capsule,Gram-Negative cell wall components,LOS core oligosaccharide biosynthesis
Cell Wall and Capsule,Gram-Negative cell wall components,Lipid A-Ara4N pathway ( Polymyxin resistance )
Cell Wall and Capsule,Gram-Negative cell wall components,Lipid A modifications
Cell Wall and Capsule,Gram-Negative cell wall components,Lipopolysaccharide-related cluster in Alphaproteobacteria
Cell Wall and Capsule,Gram-Negative cell wall components,Lipopolysaccharide assembly
Cell Wall and Capsule,Gram-Negative cell wall components,Lipoprotein sorting system
Cell Wall and Capsule,Gram-Negative cell wall components,Major Outer Membrane Proteins
Cell Wall and Capsule,Gram-Negative cell wall components,Outer membrane
Cell Wall and Capsule,Gram-Negative cell wall components,Peptidoglycan lipid II flippase
Cell Wall and Capsule,Gram-Negative cell wall components,Perosamine Synthesis Vibrio
Cell Wall and Capsule,Gram-Negative cell wall components,Vibrio Core Oligosaccharide Biosynthesis
Cell Wall and Capsule,Gram-Positive cell wall components,Anthrose Biosynthesis
Cell Wall and Capsule,Gram-Positive cell wall components,D-Alanyl Lipoteichoic Acid Biosynthesis
Cell Wall and Capsule,Gram-Positive cell wall components,Polyglycerolphosphate lipoteichoic acid biosynthesis
Cell Wall and Capsule,Gram-Positive cell wall components,Sortase
Cell Wall and Capsule,Gram-Positive cell wall components,Teichoic and lipoteichoic acids biosynthesis
Cell Wall and Capsule,Gram-Positive cell wall components,Teichuronic acid biosynthesis
Clustering-based subsystems,Clustering-based subsystems - no subcategory,ATP-dependent helicase containing cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A DNA integrity scanning protein that co-occurs with RadA
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A Heme Biosynthetic Cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A Hypothetical that Clusters with PEP Synthase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A cluster based subsystem relating to DUF414
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A cluster relating to Tryptophanyl-tRNA synthetase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,"A cluster relating to a Transcriptional regulator, LysR family"
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A cluster relating to vitamin metabolism
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A hypothetical protein that co-occurs with Leucyl-tRNA synthetase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A hypothetical related to DNA replication and repair
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A hypothetical that clusters with arginine and ornithine degradation
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A predicted deacylase that co-occurs with Ribosomal protein S6 glutaminyl transferase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,A protein believed to be a subunit or accessory protein of the formate dehydrogenase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Aerotolerance operon in Bacteroides and potentially orthologous operons in other organisms
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Allophanate hydrolase 2 and Biotin carboxylase cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Aminoglycoside phosphotransferase (antibiotic) cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,An Fe-S oxireductase coupled with a methyltransferase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Aromatic conversions and predicted Co2 transporter cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Bacterial Cell Division
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Bacterial RNA-metabolizing Zn-dependent hydrolases
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Bacteriophage P4 cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Bile hydrolysis related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Bile hydrolysis related cluster 1
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Biotin carboxylase and ubiquinone oxidoreductase subunit cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Butyrate metabolism cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-100226.1.peg.2266
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-101031.3.peg.1876
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-1140.3.peg.1603
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-12149.1.peg.3301
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-1313.3.peg.147
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-1313.3.peg.391
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-1352.1.peg.856
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-138119.3.peg.2719
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-1496.1.peg.2937
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-158878.1.peg.567
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-159087.4.peg.2189
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-160492.1.peg.550
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-176279.3.peg.1262
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-176279.3.peg.868
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-176280.1.peg.1561
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-176299.4.peg.1996A
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-1806.1.peg.3045
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-188.1.peg.6720
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-192222.1.peg.655
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-196620.1.peg.2477
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-204773.3.peg.746
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-208964.1.peg.1012
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-208964.1.peg.1122
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-208964.1.peg.365
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-208964.1.peg.3988
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-208964.1.peg.4832
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.1104
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.1606
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.1859
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.1979
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.2194
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.2352
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.2357
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.2832
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.3421
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.3548
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.3636
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.1.peg.69
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.9.peg.1632
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.9.peg.2560
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-211586.9.peg.2729
